MA	Gene Name	Ensembl ID	GM12878-ENCFF853TRI	GM12878-ENCFF305QBE	K562-ENCFF332TWQ	K562-ENCFF425PIK	HepG2-ENCFF430KOC	HepG2-ENCFF966SVU	HeLa-S2-ENCFF504AOD	HeLa-S2-ENCFF214ZYK	H1-ENCFF679BHK	H1-ENCFF289GEC	HUVEC-ENCFF211SQP	HUVEC-ENCFF318QVC	NHEK-ENCFF566XEO	NHEK-ENCFF570MJL	A549-ENCFF578YTC	A549-ENCFF908XTR	HMEC-ENCFF749LVX	HMEC-ENCFF476ARS	HSMM-ENCFF226JIS	HSMM-ENCFF036QPG	MCF-7-ENCFF735QLM	MCF-7-ENCFF317XCR	Th1-ENCFF879KHB	Th1-ENCFF979WIG	BE2C-ENCFF242CZI	BE2C-ENCFF465LLS	BE2C-ENCFF256IPJ	BJ-ENCFF982HRR	BJ-ENCFF967KIB	BJ-ENCFF154BBN	Jurkat-ENCFF799GFQ	Jurkat-ENCFF847SAP	Jurkat-ENCFF226OYU	Monocytes-CD14+-ENCFF167IBQ	Monocytes-CD14+-ENCFF857HLU	Monocytes-CD14+-ENCFF780XKG	NHLF-ENCFF609ZJO	NHLF-ENCFF400BDD	Panc1-ENCFF921FTG	Panc1-ENCFF149WMH	Panc1-ENCFF249UJV	CD20-ENCFF642IQW	CD20-ENCFF410IPV	CD34-ENCFF040ZTX	CD34-ENCFF932WWC	Ishikawa-ES-ENCFF770CRK	Ishikawa-ES-ENCFF667ZBZ	Chorion-ENCFF954RVV	Chorion-ENCFF376HRQ	HeLa-S3-ENCFF255QOM	Hepatocytes-ENCFF264EOK	Hepatocytes-ENCFF064IQR	T-47D-ENCFF549FIH	T-47D-ENCFF234TQB
MA0018.1	CREB1	ENSG00000118260	38.44	30.6	24.58	26.04	26.5	27.78	10.21	10.63	42.089999999999996	56.92	26.25	28.75	12.789999999999997	29.540000000000006	8.5	32.15	25.499999999999996	26.12	29.92	30.749999999999996	30.15	29.330000000000002	49.35	49.92	18.410000000000004	17.39	17.68	30.119999999999997	30.669999999999998	35.71999999999999	43.0	36.53	35.54	31.140000000000004	32.56	14.93	30.13	30.499999999999996	13.879999999999999	10.36	11.839999999999998	32.16	27.290000000000006	38.19	41.07	33.28	27.53	11.779999999999998	12.209999999999999	10.92	18.189999999999998	13.420000000000002	17.390000000000004	17.150000000000002
MA0018.2	CREB1	ENSG00000118260	38.44	30.6	24.58	26.04	26.5	27.78	10.21	10.63	42.089999999999996	56.92	26.25	28.75	12.789999999999997	29.540000000000006	8.5	32.15	25.499999999999996	26.12	29.92	30.749999999999996	30.15	29.330000000000002	49.35	49.92	18.410000000000004	17.39	17.68	30.119999999999997	30.669999999999998	35.71999999999999	43.0	36.53	35.54	31.140000000000004	32.56	14.93	30.13	30.499999999999996	13.879999999999999	10.36	11.839999999999998	32.16	27.290000000000006	38.19	41.07	33.28	27.53	11.779999999999998	12.209999999999999	10.92	18.189999999999998	13.420000000000002	17.390000000000004	17.150000000000002
MA0018.3	CREB1	ENSG00000118260	38.44	30.6	24.58	26.04	26.5	27.78	10.21	10.63	42.089999999999996	56.92	26.25	28.75	12.789999999999997	29.540000000000006	8.5	32.15	25.499999999999996	26.12	29.92	30.749999999999996	30.15	29.330000000000002	49.35	49.92	18.410000000000004	17.39	17.68	30.119999999999997	30.669999999999998	35.71999999999999	43.0	36.53	35.54	31.140000000000004	32.56	14.93	30.13	30.499999999999996	13.879999999999999	10.36	11.839999999999998	32.16	27.290000000000006	38.19	41.07	33.28	27.53	11.779999999999998	12.209999999999999	10.92	18.189999999999998	13.420000000000002	17.390000000000004	17.150000000000002
MA0024.1	E2F1	ENSG00000101412	2.03	2.55	20.6	15.46	16.49	13.53	37.34	89.23	21.0	21.41	11.75	12.7	0.9	0.56	99.83	14.69	8.99	9.18	7.87	8.14	10.72	10.44	0.58	0.55	27.11	27.73	11.84	4.15	4.16	6.09	44.95	41.15	43.26	0.8	0.81	0.47	8.35	8.46	28.96	29.56	36.62	2.5	1.54	5.62	5.14	23.63	24.43	1.25	1.2	93.21	11.71	12.09	23.49	19.36
MA0024.2	E2F1	ENSG00000101412	2.03	2.55	20.6	15.46	16.49	13.53	37.34	89.23	21.0	21.41	11.75	12.7	0.9	0.56	99.83	14.69	8.99	9.18	7.87	8.14	10.72	10.44	0.58	0.55	27.11	27.73	11.84	4.15	4.16	6.09	44.95	41.15	43.26	0.8	0.81	0.47	8.35	8.46	28.96	29.56	36.62	2.5	1.54	5.62	5.14	23.63	24.43	1.25	1.2	93.21	11.71	12.09	23.49	19.36
MA0024.3	E2F1	ENSG00000101412	2.03	2.55	20.6	15.46	16.49	13.53	37.34	89.23	21.0	21.41	11.75	12.7	0.9	0.56	99.83	14.69	8.99	9.18	7.87	8.14	10.72	10.44	0.58	0.55	27.11	27.73	11.84	4.15	4.16	6.09	44.95	41.15	43.26	0.8	0.81	0.47	8.35	8.46	28.96	29.56	36.62	2.5	1.54	5.62	5.14	23.63	24.43	1.25	1.2	93.21	11.71	12.09	23.49	19.36
MA0025.1	NFIL3	ENSG00000165030	0.05	0.0	24.58	15.58	121.11	176.84	44.02	9.23	10.92	10.17	18.13	13.11	4.09	7.6	2.11	16.59	5.14	5.25	3.37	3.49	11.1	10.81	2.15	2.19	1.81	1.85	2.49	9.32	9.33	5.62	18.1	19.56	20.56	187.94	189.83	60.56	37.76	38.26	5.58	5.7	5.99	7.4	9.28	37.31	35.87	8.53	8.82	34.69	33.2	9.65	74.41	76.82	9.31	7.38
MA0027.2	EN1	ENSG00000163064	0.0	0.0	2.73	0.8200000000000001	0.0	0.03	0.0	0.0	0.32	0.07	0.0	0.0	0.17	0.04	0.1	0.04	0.0	0.0	1.15	1.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.33	0.34	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.0	0.31	0.32	0.0	0.0
MA0028.1	ELK1	ENSG00000126767	39.39999999999999	41.56	18.009999999999998	16.18	2.69	6.72	56.95	61.06	9.84	12.99	13.16	11.19	11.83	10.89	16.06	11.48	28.839999999999996	20.06	28.330000000000002	20.599999999999998	10.4	10.159999999999998	12.56	15.230000000000002	25.33	11.299999999999999	12.18	18.94	16.14	21.55	25.25	29.59	18.51	12.83	8.9	10.940000000000001	25.27	24.11	39.53	17.27	42.56	12.85	14.21	24.939999999999998	19.199999999999996	24.54	17.85	19.020000000000003	15.139999999999999	65.55	24.35	24.37	31.18	35.89
MA0028.2	ELK1	ENSG00000126767	39.39999999999999	41.56	18.009999999999998	16.18	2.69	6.72	56.95	61.06	9.84	12.99	13.16	11.19	11.83	10.89	16.06	11.48	28.839999999999996	20.06	28.330000000000002	20.599999999999998	10.4	10.159999999999998	12.56	15.230000000000002	25.33	11.299999999999999	12.18	18.94	16.14	21.55	25.25	29.59	18.51	12.83	8.9	10.940000000000001	25.27	24.11	39.53	17.27	42.56	12.85	14.21	24.939999999999998	19.199999999999996	24.54	17.85	19.020000000000003	15.139999999999999	65.55	24.35	24.37	31.18	35.89
MA0030.1	FOXF2	ENSG00000137273	0.02	0.0	0.0	0.0	0.0	0.0	2.11	3.2	0.0	0.0	0.0	0.0	0.39	0.38	8.35	6.3	0.13	0.13	0.05	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.42	14.43	19.15	0.0	0.0	0.0	0.02	0.02	0.0	45.37	45.98	7.63	7.79	7.65	0.01	0.0	0.0	0.0	0.36	0.37	1.83	1.75	3.34	20.52	21.19	0.0	0.02
MA0031.1	FOXD1	ENSG00000251493	0.0	0.01	0.0	0.07	0.0	0.0	0.56	0.39	0.12	0.0	0.0	0.0	4.43	3.5500000000000003	0.56	1.43	0.61	4.03	1.77	9.43	1.74	0.21	0.04	0.0	3.61	1.18	0.0	0.32	3.76	1.05	0.27	0.89	0.0	0.0	0.03	0.03	1.22	6.949999999999999	45.199999999999996	2.83	43.459999999999994	0.14	0.0	0.0	0.01	52.870000000000005	3.81	0.0	0.31	0.0	0.65	0.26	1.6	0.0
MA0032.1	FOXC1	ENSG00000054598	0.07	0.02	0.0	0.0	0.3	0.41	17.68	24.48	0.09	0.0	3.06	3.05	2.0	3.61	4.49	2.7	4.29	3.96	1.07	0.98	3.42	3.78	0.02	0.01	3.7	3.96	3.95	6.83	6.08	6.99	1.11	1.68	1.95	0.28	0.27	0.1	2.24	1.99	2.8	2.73	3.4	0.05	0.03	0.05	0.03	1.09	1.24	2.13	1.92	29.21	0.89	0.97	0.73	1.26
MA0032.2	FOXC1	ENSG00000054598	0.07	0.02	0.0	0.0	0.3	0.41	17.68	24.48	0.09	0.0	3.06	3.05	2.0	3.61	4.49	2.7	4.29	3.96	1.07	0.98	3.42	3.78	0.02	0.01	3.7	3.96	3.95	6.83	6.08	6.99	1.11	1.68	1.95	0.28	0.27	0.1	2.24	1.99	2.8	2.73	3.4	0.05	0.03	0.05	0.03	1.09	1.24	2.13	1.92	29.21	0.89	0.97	0.73	1.26
MA0033.1	FOXL1	ENSG00000176678	0.0	0.0	0.0	0.0	0.02	0.0	11.1	11.23	0.0	0.0	1.3599999999999999	0.61	0.06	0.07	4.75	0.38	1.1600000000000001	1.1199999999999999	3.6	3.3600000000000003	0.01	0.0	0.01	0.01	0.03	0.03	0.03	3.76	3.5	4.34	0.0	0.0	0.0	0.0	0.0	0.0	17.65	16.84	17.83	18.5	14.149999999999999	0.0	0.0	0.0	0.0	0.12	0.34	0.01	0.01	11.780000000000001	0.42	0.5	0.14	0.0
MA0033.2	FOXL1	ENSG00000176678	0.0	0.0	0.0	0.0	0.02	0.0	11.1	11.23	0.0	0.0	1.3599999999999999	0.61	0.06	0.07	4.75	0.38	1.1600000000000001	1.1199999999999999	3.6	3.3600000000000003	0.01	0.0	0.01	0.01	0.03	0.03	0.03	3.76	3.5	4.34	0.0	0.0	0.0	0.0	0.0	0.0	17.65	16.84	17.83	18.5	14.149999999999999	0.0	0.0	0.0	0.0	0.12	0.34	0.01	0.01	11.780000000000001	0.42	0.5	0.14	0.0
MA0036.1	GATA2	ENSG00000179348	0.02	0.04	85.1	99.45	3.6500000000000004	5.36	39.71	49.99	0.23	0.06	47.82	55.51	0.0	0.0	4.45	0.8799999999999999	0.09	0.1	2.9200000000000004	3.02	3.98	3.8800000000000003	0.09	0.08	654.9000000000001	666.21	520.3100000000001	6.74	6.76	10.919999999999998	3.8199999999999994	4.6	4.2299999999999995	0.27	0.27	0.25	3.46	3.5300000000000002	56.24	56.8	73.35000000000001	0.04	0.16999999999999998	150.32999999999998	161.65999999999997	5.9	5.96	122.39999999999999	120.24000000000001	50.67999999999999	2.92	3.0200000000000005	18.13	20.229999999999997
MA0036.2	GATA2	ENSG00000179348	0.02	0.04	85.1	99.45	3.6500000000000004	5.36	39.71	49.99	0.23	0.06	47.82	55.51	0.0	0.0	4.45	0.8799999999999999	0.09	0.1	2.9200000000000004	3.02	3.98	3.8800000000000003	0.09	0.08	654.9000000000001	666.21	520.3100000000001	6.74	6.76	10.919999999999998	3.8199999999999994	4.6	4.2299999999999995	0.27	0.27	0.25	3.46	3.5300000000000002	56.24	56.8	73.35000000000001	0.04	0.16999999999999998	150.32999999999998	161.65999999999997	5.9	5.96	122.39999999999999	120.24000000000001	50.67999999999999	2.92	3.0200000000000005	18.13	20.229999999999997
MA0036.3	GATA2	ENSG00000179348	0.02	0.04	85.1	99.45	3.6500000000000004	5.36	39.71	49.99	0.23	0.06	47.82	55.51	0.0	0.0	4.45	0.8799999999999999	0.09	0.1	2.9200000000000004	3.02	3.98	3.8800000000000003	0.09	0.08	654.9000000000001	666.21	520.3100000000001	6.74	6.76	10.919999999999998	3.8199999999999994	4.6	4.2299999999999995	0.27	0.27	0.25	3.46	3.5300000000000002	56.24	56.8	73.35000000000001	0.04	0.16999999999999998	150.32999999999998	161.65999999999997	5.9	5.96	122.39999999999999	120.24000000000001	50.67999999999999	2.92	3.0200000000000005	18.13	20.229999999999997
MA0037.1	GATA3	ENSG00000107485	0.61	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.21	4.84	4.140000000000001	4.56	4.1	7.28	1.48	5.21	5.33	0.22	0.22	147.23999999999998	143.43000000000004	13.87	13.870000000000001	167.37	171.11	139.46	0.02	0.02	0.09000000000000001	33.339999999999996	26.22	26.69	0.02	0.02	0.06	0.02	0.02	10.329999999999998	10.580000000000002	8.77	0.79	0.39	3.2800000000000002	3.4099999999999997	0.0	0.0	120.05999999999999	120.83	0.0	21.790000000000003	22.78	480.92999999999995	642.11
MA0037.2	GATA3	ENSG00000107485	0.61	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.21	4.84	4.140000000000001	4.56	4.1	7.28	1.48	5.21	5.33	0.22	0.22	147.23999999999998	143.43000000000004	13.87	13.870000000000001	167.37	171.11	139.46	0.02	0.02	0.09000000000000001	33.339999999999996	26.22	26.69	0.02	0.02	0.06	0.02	0.02	10.329999999999998	10.580000000000002	8.77	0.79	0.39	3.2800000000000002	3.4099999999999997	0.0	0.0	120.05999999999999	120.83	0.0	21.790000000000003	22.78	480.92999999999995	642.11
MA0037.3	GATA3	ENSG00000107485	0.61	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.21	4.84	4.140000000000001	4.56	4.1	7.28	1.48	5.21	5.33	0.22	0.22	147.23999999999998	143.43000000000004	13.87	13.870000000000001	167.37	171.11	139.46	0.02	0.02	0.09000000000000001	33.339999999999996	26.22	26.69	0.02	0.02	0.06	0.02	0.02	10.329999999999998	10.580000000000002	8.77	0.79	0.39	3.2800000000000002	3.4099999999999997	0.0	0.0	120.05999999999999	120.83	0.0	21.790000000000003	22.78	480.92999999999995	642.11
MA0039.3	KLF4	ENSG00000136826	0.16	0.15	0.2	0.14	0.09	0.49	13.64	6.2	0.26	0.31999999999999995	0.78	0.23	13.87	18.880000000000003	44.39	7.67	8.77	8.99	1.08	1.13	27.77	22.29	2.5100000000000002	2.1599999999999997	0.0	0.0	0.11	3.86	4.23	3.5300000000000002	1.18	1.45	1.3	378.19	384.7	758.51	21.07	24.78	2.4699999999999998	2.1399999999999997	3.02	109.02	157.9	98.59	108.08999999999999	0.76	0.79	39.739999999999995	39.57	5.26	34.26	32.120000000000005	7.120000000000001	6.700000000000001
MA0042.1	FOXI1	ENSG00000168269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.65	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.42	0.29000000000000004	0.13	0.01	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MA0042.2	FOXI1	ENSG00000168269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01	0.01	0.0	0.0	0.65	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.42	0.29000000000000004	0.13	0.01	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MA0043.1	HLF	ENSG00000108924	0.16	0.26	0.13	0.44	228.37	291.98	0.8499999999999999	0.22000000000000003	0.0	0.0	0.05	0.11	0.05	0.11000000000000001	0.22	1.07	0.13999999999999999	0.15	0.22	0.23	0.8200000000000001	0.8	1.33	1.35	2.76	2.87	2.6999999999999997	0.03	0.03	0.0	2.36	2.84	2.46	0.0	0.0	0.06	0.16	0.16	0.0	0.0	0.0	0.05	0.07	25.669999999999998	27.43	0.42000000000000004	0.44999999999999996	52.0	50.13	0.24	0.21000000000000002	0.22	1.57	4.07
MA0043.2	HLF	ENSG00000108924	0.16	0.26	0.13	0.44	228.37	291.98	0.8499999999999999	0.22000000000000003	0.0	0.0	0.05	0.11	0.05	0.11000000000000001	0.22	1.07	0.13999999999999999	0.15	0.22	0.23	0.8200000000000001	0.8	1.33	1.35	2.76	2.87	2.6999999999999997	0.03	0.03	0.0	2.36	2.84	2.46	0.0	0.0	0.06	0.16	0.16	0.0	0.0	0.0	0.05	0.07	25.669999999999998	27.43	0.42000000000000004	0.44999999999999996	52.0	50.13	0.24	0.21000000000000002	0.22	1.57	4.07
MA0046.2	HNF1A	ENSG00000135100	0.0	0.0	0.0	0.0	9.139999999999999	9.940000000000001	0.09	0.3	0.0	0.04	0.0	0.0	0.0	0.0	10.909999999999998	3.0200000000000005	0.0	0.0	0.0	0.0	0.01	0.0	0.26	0.0	0.49000000000000005	2.28	1.92	0.0	0.0	0.0	0.71	0.0	0.32	0.02	0.02	0.0	0.02	0.02	0.18	0.38	0.26	0.0	0.0	0.26	0.07	0.0	0.26	0.01	0.02	0.26	14.0	15.05	0.32	0.52
MA0048.1	NHLH1	ENSG00000171786	0.37	0.18	0.25	0.02	0.0	0.03	0.04	0.09	0.14	0.35	0.0	0.0	0.02	0.09	1.34	0.51	0.09	0.09	0.22	0.22	0.1	0.1	0.01	0.01	1.81	1.86	3.01	0.11	0.11	0.16	0.32	0.35	0.37	0.76	0.77	0.36	0.12	0.12	0.11	0.12	0.03	0.28	0.18	0.05	0.06	0.03	0.03	0.45	0.43	0.1	0.0	0.0	0.11	0.15
MA0048.2	NHLH1	ENSG00000171786	0.37	0.18	0.25	0.02	0.0	0.03	0.04	0.09	0.14	0.35	0.0	0.0	0.02	0.09	1.34	0.51	0.09	0.09	0.22	0.22	0.1	0.1	0.01	0.01	1.81	1.86	3.01	0.11	0.11	0.16	0.32	0.35	0.37	0.76	0.77	0.36	0.12	0.12	0.11	0.12	0.03	0.28	0.18	0.05	0.06	0.03	0.03	0.45	0.43	0.1	0.0	0.0	0.11	0.15
MA0050.1	IRF1	ENSG00000125347	56.230000000000004	51.80000000000001	7.900000000000001	5.300000000000001	1.07	0.97	3.99	4.1000000000000005	2.67	3.48	2.7499999999999996	3.3600000000000003	4.24	4.199999999999999	18.240000000000002	8.500000000000002	7.790000000000002	7.95	29.610000000000003	30.549999999999997	5.57	5.450000000000001	132.25	133.17000000000002	15.639999999999997	15.190000000000001	12.59	14.800000000000002	14.650000000000002	20.860000000000003	60.57000000000001	53.92999999999999	51.45	258.98	272.27	296.28	32.24	32.61000000000001	39.410000000000004	37.7	41.35	115.42000000000002	108.38999999999999	81.00000000000003	81.50999999999999	13.42	12.899999999999997	27.77	26.68	3.8500000000000005	37.019999999999996	37.74	5.73	4.9399999999999995
MA0050.2	IRF1	ENSG00000125347	56.230000000000004	51.80000000000001	7.900000000000001	5.300000000000001	1.07	0.97	3.99	4.1000000000000005	2.67	3.48	2.7499999999999996	3.3600000000000003	4.24	4.199999999999999	18.240000000000002	8.500000000000002	7.790000000000002	7.95	29.610000000000003	30.549999999999997	5.57	5.450000000000001	132.25	133.17000000000002	15.639999999999997	15.190000000000001	12.59	14.800000000000002	14.650000000000002	20.860000000000003	60.57000000000001	53.92999999999999	51.45	258.98	272.27	296.28	32.24	32.61000000000001	39.410000000000004	37.7	41.35	115.42000000000002	108.38999999999999	81.00000000000003	81.50999999999999	13.42	12.899999999999997	27.77	26.68	3.8500000000000005	37.019999999999996	37.74	5.73	4.9399999999999995
MA0051.1	IRF2	ENSG00000168310	48.18999999999999	52.61000000000001	14.46	10.42	23.039999999999996	32.35	18.83	18.929999999999996	13.01	9.88	17.85	14.579999999999998	12.440000000000001	16.4	8.459999999999999	14.019999999999998	20.950000000000003	21.39	14.91	15.42	8.069999999999999	7.93	40.33	39.27	7.17	7.34	6.86	23.150000000000002	23.150000000000002	23.41	23.53	32.67	33.309999999999995	41.75	42.12	44.62	28.490000000000002	28.830000000000002	14.26	14.06	13.740000000000002	43.81	43.92999999999999	20.990000000000002	23.87	2.6500000000000004	2.7600000000000002	19.59	19.779999999999998	19.040000000000003	15.78	16.270000000000003	14.839999999999998	13.76
